id	emotion
34170_0010_A_67	0.06676700711250305,0.06737855076789856,0.1234465166926384,0.10098602622747421,0.08052083104848862,0.18724480271339417
34170_0011_A_71	0.07283683121204376,0.06766945123672485,0.11751576513051987,0.09455949813127518,0.08278224617242813,0.1943608969449997
34170_0011_A_74	0.06359444558620453,0.06813684105873108,0.11652476340532303,0.09987973421812057,0.07838854938745499,0.19058585166931152
34170_0011_A_76	0.06425371766090393,0.06958019733428955,0.11357512325048447,0.09791751950979233,0.08061153441667557,0.19694435596466064
34170_0011_A_78	0.07283459603786469,0.06658396124839783,0.110432930290699,0.09729639440774918,0.07470078021287918,0.1866498440504074
34170_0011_A_80	0.07375960052013397,0.0648784339427948,0.10907856374979019,0.09854141622781754,0.07535398751497269,0.1876613050699234
34170_0011_A_81	0.06835588812828064,0.05974126234650612,0.10553095489740372,0.10151774436235428,0.07887694984674454,0.1867848038673401
34170_0012_A_83	0.07072713971138,0.06722533702850342,0.11686242371797562,0.09961167722940445,0.08180520683526993,0.19062334299087524
34170_0012_A_84	0.06482246518135071,0.06532156467437744,0.1140163317322731,0.093551866710186,0.08748801797628403,0.1965242326259613
34170_0012_A_85	0.06495079398155212,0.0655921995639801,0.11412567645311356,0.0931343361735344,0.08696537464857101,0.19662752747535706
34170_0012_A_86	0.06441108882427216,0.06640100479125977,0.11460404843091965,0.09222554415464401,0.08712349086999893,0.19752022624015808
34170_0012_A_87	0.06424003839492798,0.06612497568130493,0.11453572660684586,0.09167065471410751,0.0876854881644249,0.19749179482460022
34170_0012_A_88	0.06495507061481476,0.06543895602226257,0.1141069158911705,0.09349296241998672,0.08727318793535233,0.1964203119277954
34170_0012_A_89	0.0642462968826294,0.06637072563171387,0.1147742047905922,0.09198471158742905,0.08704359084367752,0.1975816786289215
34170_0012_A_90	0.07611466944217682,0.06741556525230408,0.10605572909116745,0.1056719496846199,0.0793689712882042,0.18541355431079865
34170_0012_A_92	0.06914384663105011,0.06806159019470215,0.1107717826962471,0.09411882609128952,0.07972384244203568,0.18907886743545532
34170_0012_A_94	0.06826336681842804,0.05813247337937355,0.10770805925130844,0.09535112231969833,0.08238155394792557,0.18258216977119446
34170_0012_A_96	0.07388876378536224,0.06123578920960426,0.10690996795892715,0.09869196265935898,0.08218603581190109,0.18922536075115204
34170_0012_A_98	0.06808052957057953,0.06508079171180725,0.10996460169553757,0.10255054384469986,0.07783282548189163,0.18319891393184662
34170_0012_A_99	0.059712570160627365,0.06869319081306458,0.11399044841527939,0.10685122758150101,0.06999365240335464,0.19514283537864685
34170_0012_A_100	0.07373517751693726,0.06400245428085327,0.11129475384950638,0.10057161003351212,0.0786505714058876,0.185240238904953
34170_0012_A_101	0.06853732466697693,0.06915730237960815,0.11201300472021103,0.0957896038889885,0.0777316465973854,0.19163726270198822
34170_0013_A_103	0.06421062350273132,0.06535640358924866,0.11372152715921402,0.10179220885038376,0.07850895076990128,0.19144614040851593
34170_0013_A_104	0.0647251307964325,0.06706550717353821,0.11427893489599228,0.10107382386922836,0.07811694592237473,0.19285070896148682
34170_0013_A_105	0.06423981487751007,0.0650920569896698,0.11357828229665756,0.10182397812604904,0.07910922914743423,0.1911197453737259
34170_0013_A_106	0.06261439621448517,0.06981047987937927,0.10764888674020767,0.08862116187810898,0.07578010112047195,0.19143864512443542
34170_0013_A_107	0.06476357579231262,0.06993028521537781,0.10543004423379898,0.09779263287782669,0.08075908571481705,0.18571412563323975
34170_0013_A_108	0.0697733461856842,0.0721222460269928,0.11697662621736526,0.09470141679048538,0.07607952505350113,0.194543719291687
34170_0013_A_109	0.07395875453948975,0.06645610928535461,0.11187001317739487,0.10111743956804276,0.07815996557474136,0.1906844675540924
34170_0013_A_110	0.06778492033481598,0.06714239716529846,0.11260447651147842,0.1023789569735527,0.07344812899827957,0.18997973203659058
34170_0014_A_112	0.06948912143707275,0.0711757242679596,0.10922376066446304,0.09857743233442307,0.07602151483297348,0.19026169180870056
34170_0014_A_113	0.06776753067970276,0.06731492280960083,0.11271784454584122,0.10368015617132187,0.06970144063234329,0.1890869438648224
34170_0015_A_115	0.06852596998214722,0.07357564568519592,0.1137101873755455,0.10327760130167007,0.07059825211763382,0.1919916421175003
34170_0015_A_116	0.06462857127189636,0.06272998452186584,0.10402149707078934,0.11021118611097336,0.0805572047829628,0.18039701879024506
34170_0015_A_117	0.06807492673397064,0.06869995594024658,0.1084931418299675,0.10343416780233383,0.07181227952241898,0.18617326021194458
34170_0015_A_118	0.06918293237686157,0.06300929188728333,0.10908425599336624,0.10574912279844284,0.07890654355287552,0.18782225251197815
34170_0015_A_119	0.06784462928771973,0.06975749135017395,0.1143876314163208,0.09897805005311966,0.07362816482782364,0.18831110000610352
34170_0015_A_120	0.06007842347025871,0.06457963585853577,0.11674036830663681,0.10885455459356308,0.07425276190042496,0.18730926513671875
34170_0015_A_121	0.06156718358397484,0.0667080283164978,0.11158858984708786,0.09955545514822006,0.07500023394823074,0.19648216664791107
34170_0016_A_123	0.06999601423740387,0.06347742676734924,0.1071576252579689,0.1021285131573677,0.08180598169565201,0.18462181091308594
34170_0016_A_124	0.06878544390201569,0.06901708245277405,0.11420109122991562,0.11408219486474991,0.07041949778795242,0.18378430604934692
34170_0016_A_125	0.06369656324386597,0.067424476146698,0.11702024191617966,0.10165023058652878,0.06688917428255081,0.1886289417743683
34170_0016_A_126	0.07347516715526581,0.06135326996445656,0.10743392258882523,0.09954280406236649,0.0844401940703392,0.1806892603635788
34170_0016_A_127	0.07270395755767822,0.061950597912073135,0.10815151780843735,0.09776518493890762,0.08363576978445053,0.18138080835342407
34170_0016_A_128	0.07289513945579529,0.05740371719002724,0.11007072776556015,0.10387488454580307,0.0700509175658226,0.18404319882392883
34170_0016_A_129	0.07122473418712616,0.07082870602607727,0.10896120220422745,0.09611811488866806,0.07313240319490433,0.1926366090774536
34170_0016_A_130	0.07510942220687866,0.06255185604095459,0.10597088187932968,0.1062362864613533,0.07333306223154068,0.1837238371372223
34170_0016_A_131	0.06696584820747375,0.0725303590297699,0.11787515133619308,0.09776247292757034,0.08129153400659561,0.19001510739326477
34170_0016_A_132	0.06667771935462952,0.06268489360809326,0.11077984422445297,0.10263348370790482,0.07691391557455063,0.18918150663375854
34170_0016_A_133	0.07077257335186005,0.06796184182167053,0.10989988595247269,0.09708548337221146,0.08162228018045425,0.18654605746269226
34170_0016_A_134	0.07058560848236084,0.06877225637435913,0.10999854654073715,0.09606177359819412,0.08176592737436295,0.18673603236675262
34170_0016_A_135	0.07638570666313171,0.06415736675262451,0.10686051100492477,0.09654570370912552,0.07127849012613297,0.18488925695419312
34170_0016_A_136	0.07269962131977081,0.07267609238624573,0.10830266028642654,0.09520801156759262,0.07165292650461197,0.19265399873256683
34170_0017_A_139	0.05925529822707176,0.06657540798187256,0.10567175596952438,0.10007407516241074,0.07948864251375198,0.20179136097431183
34170_0017_A_140	0.06561316549777985,0.062489066272974014,0.10746229439973831,0.10303781181573868,0.07697195559740067,0.1926921010017395
34170_0017_A_141	0.06507821381092072,0.0640329122543335,0.11202485859394073,0.10186026245355606,0.07734573632478714,0.1871981918811798
34170_0017_A_142	0.06102481111884117,0.06339719891548157,0.10170245915651321,0.09802653640508652,0.08530841022729874,0.2008049190044403
34170_0017_A_143	0.06635251641273499,0.06292387843132019,0.11043066531419754,0.10551968961954117,0.07570830732584,0.18647196888923645
34170_0017_A_144	0.06305834650993347,0.0628637969493866,0.10946723073720932,0.10317852348089218,0.08040658384561539,0.1865713894367218
34170_0017_A_145	0.06267888844013214,0.0633758008480072,0.10401599854230881,0.10028447955846786,0.08033917099237442,0.19703546166419983
34170_0017_A_146	0.06315353512763977,0.06281042098999023,0.1035376712679863,0.09967357665300369,0.08183642476797104,0.19632013142108917
34170_0017_A_147	0.06969565153121948,0.06227520480751991,0.10987930744886398,0.11060229688882828,0.06873408704996109,0.18084214627742767
34170_0017_A_148	0.06752046942710876,0.068383127450943,0.10642596334218979,0.104317806661129,0.08226621896028519,0.19543546438217163
34170_0017_A_149	0.07259179651737213,0.06065470352768898,0.10928245633840561,0.10223349183797836,0.08265391737222672,0.18443095684051514
34170_0017_A_150	0.07271134853363037,0.06310984492301941,0.11014623194932938,0.1003461703658104,0.08196064084768295,0.18603482842445374
34170_0017_A_151	0.06598848104476929,0.06702858209609985,0.1136733815073967,0.10841479152441025,0.07879457622766495,0.18264615535736084
34170_0017_A_152	0.07156617939472198,0.06610965728759766,0.11354071646928787,0.11066428571939468,0.07533157616853714,0.1819913238286972
34170_0017_A_153	0.062498610466718674,0.0668325424194336,0.11279473453760147,0.10195747762918472,0.07506445795297623,0.19455677270889282
34170_0017_A_154	0.06338964402675629,0.06623747944831848,0.11187616735696793,0.1023300364613533,0.07565180212259293,0.19304998219013214
34170_0017_A_155	0.07061609625816345,0.06713956594467163,0.11275195330381393,0.10103911906480789,0.06976620107889175,0.19151335954666138
34170_0017_A_156	0.07089617848396301,0.06855973601341248,0.09998462349176407,0.10591664165258408,0.07359514385461807,0.189589262008667
34170_0017_A_157	0.07015487551689148,0.06838223338127136,0.11001764982938766,0.10218968242406845,0.07397342473268509,0.19390487670898438
34170_0017_A_158	0.07614538073539734,0.06027630344033241,0.10782163590192795,0.09862137585878372,0.07996506243944168,0.18230146169662476
34170_0017_A_159	0.0678793340921402,0.06305530667304993,0.10797002166509628,0.09167072921991348,0.09279114753007889,0.19231736660003662
34170_0017_A_160	0.06802409887313843,0.06499716639518738,0.1087602898478508,0.09145315736532211,0.09145135432481766,0.19374863803386688
34170_0017_A_161	0.0680549293756485,0.06310182809829712,0.10766210407018661,0.09165119379758835,0.09286273270845413,0.19238203763961792
34170_0017_A_162	0.06537878513336182,0.06713289022445679,0.10133067518472672,0.10440494865179062,0.07528755813837051,0.19473358988761902
34170_0017_A_163	0.07276389002799988,0.07258468866348267,0.1116347536444664,0.1036088839173317,0.08100707083940506,0.18283146619796753
34170_0017_A_164	0.06793960928916931,0.06639143824577332,0.11185114830732346,0.10049492865800858,0.07762741297483444,0.18497854471206665
34170_0017_A_165	0.07809190452098846,0.06615465879440308,0.11442459374666214,0.10091426223516464,0.08248601108789444,0.18471333384513855
34170_0017_A_166	0.07249346375465393,0.06877312064170837,0.11765076965093613,0.10318998247385025,0.06672243028879166,0.19145725667476654
34170_0017_A_167	0.06736791133880615,0.07367166876792908,0.11271084100008011,0.10669628530740738,0.07432178407907486,0.19357360899448395
34170_0017_A_168	0.07040096819400787,0.06251293420791626,0.11095932871103287,0.0948287770152092,0.08368397504091263,0.18878622353076935
34170_0017_A_169	0.07026301324367523,0.06415972113609314,0.11304091662168503,0.09204103797674179,0.08287584036588669,0.1893332153558731
34170_0017_A_173	0.07264849543571472,0.06740882992744446,0.11651208251714706,0.10175880044698715,0.07594534009695053,0.18725141882896423
34170_0017_A_170	0.06890176236629486,0.07270738482475281,0.10940202325582504,0.10557401925325394,0.07449663430452347,0.19442342221736908
34170_0017_A_172	0.07245105504989624,0.06756991147994995,0.11652479320764542,0.10188958793878555,0.07582326978445053,0.18750818073749542
34170_0017_A_175	0.0703607052564621,0.06168479099869728,0.10907968133687973,0.09168262034654617,0.08206122368574142,0.18684619665145874
34170_0017_A_176	0.07097192108631134,0.060206327587366104,0.10832972079515457,0.09202233701944351,0.08291242271661758,0.18587863445281982
34170_0017_A_178	0.061648230999708176,0.06491070985794067,0.11812815815210342,0.10309959203004837,0.07319880276918411,0.18759238719940186
34170_0017_A_179	0.06415966153144836,0.06900858879089355,0.11276129633188248,0.11012569814920425,0.07413551956415176,0.1894526183605194
34170_0017_A_181	0.07192137837409973,0.06256356835365295,0.10483676940202713,0.10562659054994583,0.07245654612779617,0.181864932179451
34170_0017_A_182	0.07447445392608643,0.06297588348388672,0.11607735604047775,0.10388506203889847,0.07199805229902267,0.1865699142217636
34170_0017_A_184	0.06872671842575073,0.06316494941711426,0.11663626879453659,0.10813560336828232,0.07374600321054459,0.18103280663490295
34170_0017_A_185	0.0745697021484375,0.0709223747253418,0.10619733482599258,0.10519777983427048,0.07185737043619156,0.1905769407749176
34170_0017_A_187	0.07460328936576843,0.07112899422645569,0.10603838413953781,0.10507672280073166,0.07167405635118484,0.19043394923210144
34170_0017_A_188	0.07622943818569183,0.07629939913749695,0.10648753494024277,0.10109338909387589,0.07098711282014847,0.19607004523277283
34170_0017_A_189	0.07785587012767792,0.07108554244041443,0.1231103166937828,0.10526808351278305,0.07560855895280838,0.19047079980373383
34170_0017_A_191	0.0707944929599762,0.06701245903968811,0.11334490031003952,0.09391874819993973,0.07733673602342606,0.18727898597717285
34170_0017_A_192	0.07013167440891266,0.06366011500358582,0.11135026067495346,0.09486771374940872,0.07897362858057022,0.18548670411109924
34170_0017_A_193	0.0688021183013916,0.07179063558578491,0.123993881046772,0.10069433599710464,0.06906262785196304,0.1921548992395401
34170_0017_A_194	0.072953000664711,0.06403300166130066,0.10775784403085709,0.10117290169000626,0.08139637857675552,0.1882549524307251
34170_0017_A_195	0.07079972326755524,0.06856322288513184,0.11808063834905624,0.09538107365369797,0.0766473338007927,0.18798968195915222
34170_0017_A_196	0.07075214385986328,0.06442785263061523,0.11531337350606918,0.09728347510099411,0.07755566388368607,0.18540741503238678
34170_0017_A_198	0.06759798526763916,0.05797616019845009,0.11917559057474136,0.09320340305566788,0.0857660248875618,0.19470393657684326
34170_0017_A_199	0.06821253895759583,0.05738237872719765,0.11858119815587997,0.09383387118577957,0.08579177409410477,0.19418929517269135
34170_0017_A_200	0.06894755363464355,0.0570470429956913,0.10668740421533585,0.08956369012594223,0.0805639699101448,0.18811394274234772
34170_0019_A_207	0.07837522029876709,0.06925109028816223,0.11852502077817917,0.0949239507317543,0.07996255904436111,0.18499235808849335
34170_0019_A_208	0.07258044183254242,0.06781619787216187,0.1174529418349266,0.0964554026722908,0.07479516416788101,0.186288982629776
34170_0019_A_209	0.07453718781471252,0.058196935802698135,0.11088519543409348,0.10408518463373184,0.07430904358625412,0.18391939997673035
34170_0019_A_210	0.07007424533367157,0.05650428310036659,0.10902295261621475,0.10105828195810318,0.07897938042879105,0.18630194664001465
34170_0019_A_217	0.07528753578662872,0.07075154781341553,0.10509679466485977,0.1053827777504921,0.07586365193128586,0.1848869025707245
34170_0019_A_219	0.06956321001052856,0.06930762529373169,0.11614381521940231,0.1052272692322731,0.07725752145051956,0.18781286478042603
34170_0019_A_225	0.06689126789569855,0.06677564978599548,0.10923580080270767,0.10003440827131271,0.0824553444981575,0.19451823830604553
34170_0019_A_226	0.06917628645896912,0.07072916626930237,0.10353962332010269,0.10675425082445145,0.07852215319871902,0.18926504254341125
34170_0019_A_231	0.07447154819965363,0.057953689247369766,0.10882198065519333,0.10060519725084305,0.07029091566801071,0.1846451312303543
34170_0020_A_238	0.07061892747879028,0.06293877959251404,0.10823862999677658,0.10085006803274155,0.07904548197984695,0.18348154425621033
34170_0020_A_239	0.0690949559211731,0.06097129359841347,0.10822344571352005,0.1012299433350563,0.07941394299268723,0.18416598439216614
34170_0020_A_240	0.06959450244903564,0.06537431478500366,0.10577575117349625,0.10084634274244308,0.07064909487962723,0.1916169673204422
34170_0020_A_241	0.07075689733028412,0.06003967300057411,0.10635460168123245,0.10114797204732895,0.07521835714578629,0.18123087286949158
34170_0020_A_242	0.06190745159983635,0.06395938992500305,0.11292014271020889,0.09539323300123215,0.0791054293513298,0.2020476758480072
34170_0020_A_243	0.0720006674528122,0.0715806782245636,0.11049018055200577,0.09965557605028152,0.07750523835420609,0.19280730187892914
34170_0020_A_246	0.06864574551582336,0.07534486055374146,0.112337626516819,0.09757620841264725,0.07588312774896622,0.19633416831493378
34170_0020_A_247	0.06564107537269592,0.06850248575210571,0.11172876507043839,0.09688115864992142,0.07290346175432205,0.1916184425354004
34170_0020_A_251	0.06784616410732269,0.06265559792518616,0.11585543304681778,0.09979679435491562,0.08181355148553848,0.18717339634895325
34170_0020_A_252	0.06723986566066742,0.06324395537376404,0.11554821580648422,0.09968409687280655,0.08189991861581802,0.18774965405464172
34170_0021_A_255	0.062492843717336655,0.06463643908500671,0.11637718230485916,0.09913713485002518,0.07775641232728958,0.1961173117160797
34170_0021_A_257	0.06306207180023193,0.059090498834848404,0.11649467796087265,0.09705204516649246,0.07826743274927139,0.19155578315258026
34170_0021_A_259	0.06424102187156677,0.06875568628311157,0.11044899374246597,0.09946195036172867,0.0804477408528328,0.19529876112937927
34170_0021_A_261	0.07016995549201965,0.08790811896324158,0.10916125029325485,0.0963703915476799,0.07256976515054703,0.19839124381542206
34170_0021_A_262	0.07139313220977783,0.05749130621552467,0.10907819122076035,0.0999574139714241,0.08053619414567947,0.18395352363586426
34170_0022_A_265	0.0717766284942627,0.0700388252735138,0.11514671891927719,0.09502271562814713,0.07443202286958694,0.19290295243263245
34170_0022_A_266	0.06427323818206787,0.06040296331048012,0.10394611209630966,0.10146383196115494,0.0784173235297203,0.18958646059036255
34170_0022_A_267	0.0640941858291626,0.06139859929680824,0.10494475811719894,0.10054735094308853,0.0778057649731636,0.19003015756607056
34170_0022_A_268	0.06109314784407616,0.06401434540748596,0.10656643658876419,0.10029780119657516,0.08804052323102951,0.19560891389846802
34170_0022_A_269	0.07003846764564514,0.06137431040406227,0.10937321931123734,0.09259339421987534,0.07873410731554031,0.18483443558216095
34170_0022_A_270	0.07046113908290863,0.06490963697433472,0.11102447658777237,0.09108204394578934,0.07786978036165237,0.18621458113193512
34170_0022_A_271	0.07291620969772339,0.07983890175819397,0.12601903080940247,0.1031995639204979,0.07250765711069107,0.19075608253479004
34170_0022_A_272	0.07386671006679535,0.06851330399513245,0.106592558324337,0.09802549332380295,0.0765756145119667,0.18856368958950043
34170_0022_A_273	0.0728251039981842,0.06651601195335388,0.11475541442632675,0.09561703354120255,0.07454518228769302,0.18751828372478485
34170_0022_A_276	0.0727829784154892,0.05991623178124428,0.11113905161619186,0.09865731745958328,0.07598390430212021,0.18397685885429382
34170_0022_A_279	0.06538984179496765,0.06846797466278076,0.11461899429559708,0.09403284639120102,0.07496079057455063,0.19432444870471954
34170_0022_A_280	0.06811651587486267,0.06555977463722229,0.11055593937635422,0.09933028370141983,0.08036122471094131,0.19159218668937683
34170_0022_A_281	0.06775835156440735,0.06712615489959717,0.1100773885846138,0.09852417558431625,0.07935858517885208,0.19212402403354645
34170_0022_A_282	0.06893956661224365,0.06323429942131042,0.11320418864488602,0.095912404358387,0.07689053565263748,0.18852676451206207
34170_0022_A_283	0.06830433011054993,0.06449350714683533,0.11335773020982742,0.09404737502336502,0.07674600929021835,0.18921229243278503
34170_0022_A_284	0.0726572722196579,0.06532281637191772,0.106277234852314,0.10216828435659409,0.07572666555643082,0.18797056376934052
34170_0022_A_285	0.06510569155216217,0.06545355916023254,0.11713077872991562,0.10128531605005264,0.07342731207609177,0.19018520414829254
34170_0022_A_286	0.07265709340572357,0.06532266736030579,0.10627714544534683,0.10216812044382095,0.07572668045759201,0.18797068297863007
34170_0022_A_287	0.06697510182857513,0.06526419520378113,0.11211424320936203,0.09514718502759933,0.07509268075227737,0.1914852261543274
34170_0022_A_288	0.06966088712215424,0.06529060006141663,0.09966839104890823,0.10004090517759323,0.08009133487939835,0.19269296526908875
34170_0022_A_291	0.07582239806652069,0.06329423189163208,0.10515538603067398,0.09773347526788712,0.08070961385965347,0.1818314641714096
34170_0022_A_292	0.07601584494113922,0.06519454717636108,0.10597812384366989,0.09726319462060928,0.08010933548212051,0.18329843878746033
34170_0022_A_293	0.07595497369766235,0.06281638145446777,0.1050911471247673,0.09773454815149307,0.08083143085241318,0.18170945346355438
34170_0022_A_302	0.0659971833229065,0.0684712827205658,0.11633910983800888,0.09516585618257523,0.08090893179178238,0.19383934140205383
34170_0022_A_295	0.07060584425926208,0.07131978869438171,0.11212121695280075,0.0913587436079979,0.08103806525468826,0.19153344631195068
34170_0022_A_298	0.06716208159923553,0.06593066453933716,0.11686704307794571,0.09734807163476944,0.07596103101968765,0.1928129494190216
34170_0022_A_299	0.06881621479988098,0.07188931107521057,0.11258137971162796,0.0993964895606041,0.07876769453287125,0.1983274519443512
34170_0022_A_300	0.06516680121421814,0.06492769718170166,0.11593588441610336,0.10208151489496231,0.07563764601945877,0.18802347779273987
34170_0022_A_301	0.07267013192176819,0.0631144642829895,0.10839668661355972,0.10067407041788101,0.07779597491025925,0.1842457354068756
34170_0022_A_303	0.06968650221824646,0.06607720255851746,0.10041933506727219,0.10012514144182205,0.07946819812059402,0.19274035096168518
34170_0022_A_304	0.07137905061244965,0.06731802225112915,0.10859457403421402,0.09790269285440445,0.07902530580759048,0.19168396294116974
34170_0022_A_305	0.07054370641708374,0.06684070825576782,0.11088529974222183,0.09585369378328323,0.0788927748799324,0.19027680158615112
34170_0022_A_308	0.07263030111789703,0.06694138050079346,0.1181831881403923,0.10093019157648087,0.07708913832902908,0.1864839792251587
34170_0022_A_309	0.07176591455936432,0.0716332197189331,0.11370409280061722,0.09662998467683792,0.0787682756781578,0.1921057105064392
34170_0022_A_310	0.06195440515875816,0.06393080949783325,0.10822398215532303,0.10823260992765427,0.07284475117921829,0.19150413572788239
34170_0022_A_311	0.06768277287483215,0.06559473276138306,0.1129663959145546,0.09794946759939194,0.07548583298921585,0.1925642192363739
34170_0022_A_312	0.07213425636291504,0.06719589233398438,0.10468373447656631,0.10063708573579788,0.07654649764299393,0.18857477605342865
34170_0022_A_315	0.0626731663942337,0.06001949682831764,0.10427594929933548,0.10272722691297531,0.08485918492078781,0.1967291235923767
34170_0022_A_316	0.056149210780858994,0.07174155116081238,0.10359235852956772,0.10343628376722336,0.08231330662965775,0.20196129381656647
34170_0022_A_319	0.06966088712215424,0.06529060006141663,0.09966839104890823,0.10004090517759323,0.08009133487939835,0.19269296526908875
34170_0022_A_322	0.07031272351741791,0.06273311376571655,0.10881117731332779,0.10109943896532059,0.08378336578607559,0.18820632994174957
34170_0022_A_323	0.07361361384391785,0.05821860209107399,0.1031622663140297,0.09863663464784622,0.07602591067552567,0.19087135791778564
34170_0022_A_324	0.07095667719841003,0.06887182593345642,0.10298270732164383,0.10543053597211838,0.07420063763856888,0.19047297537326813
34170_0022_A_327	0.0696118026971817,0.06260713934898376,0.11880955845117569,0.10528228431940079,0.07477278262376785,0.182228684425354
34170_0022_A_328	0.07584741711616516,0.06640738248825073,0.1126151904463768,0.0977107360959053,0.07439350336790085,0.18641766905784607
34170_0022_A_329	0.07176591455936432,0.0716332197189331,0.11370409280061722,0.09662998467683792,0.0787682756781578,0.1921057105064392
34170_0022_A_330	0.06830549240112305,0.05765560641884804,0.10837122052907944,0.1018393263220787,0.08112377673387527,0.18728980422019958
34170_0022_A_331	0.07398280501365662,0.07176825404167175,0.10574761778116226,0.09817362576723099,0.0739799216389656,0.18875017762184143
34170_0022_A_334	0.0715465247631073,0.06891342997550964,0.10974513739347458,0.1007801964879036,0.08055061846971512,0.19306617975234985
